date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2021-06-24,ARKK,2022-01-21,42.96,Put,0.17,0.18,0.18,0.6487,-0.01,0.00,0.00,0.02
2021-06-24,ARKK,2022-01-21,47.96,Put,0.18,0.38,0.28,0.6287,-0.01,0.00,0.00,0.03
2021-06-24,ARKK,2022-01-21,52.96,Put,0.35,0.52,0.44,0.6120,-0.02,0.00,-0.01,0.04
2021-06-24,ARKK,2022-01-21,55,Put,0.39,0.51,0.45,0.5914,-0.02,0.00,-0.01,0.04
2021-06-24,ARKK,2022-01-21,57.96,Put,0.52,0.64,0.58,0.5841,-0.02,0.00,-0.01,0.05
2021-06-24,ARKK,2022-01-21,60,Put,0.46,0.69,0.58,0.5601,-0.02,0.00,-0.01,0.05
2021-06-24,ARKK,2022-01-21,62.96,Put,0.59,0.81,0.70,0.5487,-0.03,0.00,-0.01,0.06
2021-06-24,ARKK,2022-01-21,65,Put,0.71,0.82,0.77,0.5362,-0.03,0.00,-0.01,0.06
2021-06-24,ARKK,2022-01-21,67.96,Put,0.81,1.04,0.93,0.5259,-0.04,0.00,-0.01,0.08
2021-06-24,ARKK,2022-01-21,70.96,Put,0.95,1.20,1.08,0.5117,-0.05,0.00,-0.01,0.09
2021-06-24,ARKK,2022-01-21,71.96,Put,1.06,1.22,1.14,0.5081,-0.05,0.00,-0.01,0.10
2021-06-24,ARKK,2022-01-21,72.96,Put,1.17,1.26,1.22,0.5053,-0.05,0.00,-0.01,0.10
2021-06-24,ARKK,2022-01-21,73.96,Put,1.23,1.33,1.28,0.5012,-0.05,0.00,-0.01,0.10
2021-06-24,ARKK,2022-01-21,74.96,Put,1.31,1.42,1.37,0.4988,-0.06,0.00,-0.01,0.11
2021-06-24,ARKK,2022-01-21,75.96,Put,1.39,1.49,1.44,0.4950,-0.06,0.00,-0.01,0.11
2021-06-24,ARKK,2022-01-21,76.96,Put,1.48,1.58,1.53,0.4873,-0.06,0.00,-0.01,0.12
2021-06-24,ARKK,2022-01-21,77.96,Put,1.53,1.66,1.60,0.4873,-0.07,0.00,-0.01,0.12
2021-06-24,ARKK,2022-01-21,78.96,Put,1.63,1.76,1.70,0.4848,-0.07,0.00,-0.01,0.13
2021-06-24,ARKK,2022-01-21,79.96,Put,1.72,1.85,1.79,0.4813,-0.07,0.00,-0.01,0.13
2021-06-24,ARKK,2022-01-21,80.96,Put,1.83,1.95,1.89,0.4786,-0.08,0.00,-0.02,0.14
2021-06-24,ARKK,2022-01-21,81.96,Put,1.93,2.06,2.00,0.4756,-0.08,0.00,-0.02,0.14
2021-06-24,ARKK,2022-01-21,82.96,Put,2.04,2.17,2.11,0.4727,-0.09,0.00,-0.02,0.15
2021-06-24,ARKK,2022-01-21,83.96,Put,2.16,2.30,2.23,0.4704,-0.09,0.00,-0.02,0.16
2021-06-24,ARKK,2022-01-21,84.96,Put,2.27,2.41,2.34,0.4669,-0.10,0.00,-0.02,0.16
2021-06-24,ARKK,2022-01-21,85.96,Put,2.41,2.52,2.47,0.4640,-0.10,0.00,-0.02,0.17
2021-06-24,ARKK,2022-01-21,86.96,Put,2.55,2.65,2.60,0.4615,-0.11,0.00,-0.02,0.17
2021-06-24,ARKK,2022-01-21,87.96,Put,2.68,2.79,2.74,0.4587,-0.11,0.00,-0.02,0.18
2021-06-24,ARKK,2022-01-21,88.96,Put,2.83,2.95,2.89,0.4566,-0.12,0.00,-0.02,0.19
2021-06-24,ARKK,2022-01-21,89.96,Put,3.00,3.10,3.05,0.4545,-0.12,0.00,-0.02,0.19
2021-06-24,ARKK,2022-01-21,90.96,Put,3.10,3.25,3.18,0.4504,-0.13,0.00,-0.02,0.20
2021-06-24,ARKK,2022-01-21,91.96,Put,3.30,3.40,3.35,0.4484,-0.13,0.01,-0.02,0.20
2021-06-24,ARKK,2022-01-21,92.96,Put,3.45,3.60,3.53,0.4462,-0.14,0.01,-0.02,0.21
2021-06-24,ARKK,2022-01-21,93.96,Put,3.60,3.75,3.68,0.4426,-0.14,0.01,-0.02,0.22
2021-06-24,ARKK,2022-01-21,94.96,Put,3.80,3.95,3.88,0.4409,-0.15,0.01,-0.02,0.22
2021-06-24,ARKK,2022-01-21,95.96,Put,4.00,4.15,4.08,0.4389,-0.16,0.01,-0.02,0.23
2021-06-24,ARKK,2022-01-21,96.96,Put,4.20,4.35,4.28,0.4367,-0.17,0.01,-0.02,0.24
2021-06-24,ARKK,2022-01-21,97.96,Put,4.40,4.55,4.48,0.4341,-0.17,0.01,-0.02,0.24
2021-06-24,ARKK,2022-01-21,98.96,Put,4.65,4.80,4.73,0.4333,-0.18,0.01,-0.02,0.25
2021-06-24,ARKK,2022-01-21,100,Put,4.90,5.05,4.98,0.4317,-0.19,0.01,-0.02,0.26
2021-06-24,ARKK,2022-01-21,102.96,Put,5.60,5.80,5.70,0.4258,-0.21,0.01,-0.03,0.27
2021-06-24,ARKK,2022-01-21,105,Put,6.15,6.35,6.25,0.4221,-0.23,0.01,-0.03,0.29
2021-06-24,ARKK,2022-01-21,107.96,Put,7.05,7.30,7.18,0.4188,-0.25,0.01,-0.03,0.30
2021-06-24,ARKK,2022-01-21,110,Put,7.70,7.95,7.83,0.4154,-0.27,0.01,-0.03,0.31
2021-06-24,ARKK,2022-01-21,112.96,Put,8.75,9.00,8.88,0.4116,-0.30,0.01,-0.03,0.33
2021-06-24,ARKK,2022-01-21,115,Put,9.55,9.80,9.68,0.4098,-0.32,0.01,-0.03,0.34
2021-06-24,ARKK,2022-01-21,117.96,Put,11.70,11.95,11.83,0.4076,-0.35,0.01,-0.03,0.35
2021-06-24,ARKK,2022-01-21,120,Put,11.80,12.00,11.90,0.4056,-0.37,0.01,-0.03,0.35
2021-06-24,ARKK,2022-01-21,122.96,Put,13.10,13.40,13.25,0.4041,-0.40,0.01,-0.03,0.37
2021-06-24,ARKK,2022-01-21,125,Put,14.15,14.40,14.28,0.4027,-0.42,0.01,-0.03,0.37
2021-06-24,ARKK,2022-01-21,127.96,Put,15.70,16.10,15.90,0.4024,-0.45,0.01,-0.03,0.37
2021-06-24,ARKK,2022-01-21,130,Put,16.80,17.20,17.00,0.4017,-0.47,0.01,-0.03,0.38
2021-06-24,ARKK,2022-07-16,55,Put,0.74,1.05,0.895,0.5089,-0.03,0.00,-0.01,0.09
2021-06-24,ARKK,2022-07-16,60,Put,1.20,1.30,1.25,0.4977,-0.04,0.00,-0.01,0.11
2021-06-24,ARKK,2022-07-16,65,Put,1.52,1.69,1.605,0.4806,-0.05,0.00,-0.01,0.13
2021-06-24,ARKK,2022-07-16,70,Put,2.15,2.23,2.19,0.4742,-0.07,0.00,-0.01,0.17
2021-06-24,ARKK,2022-07-16,75,Put,2.36,2.88,2.62,0.4535,-0.08,0.00,-0.01,0.19
2021-06-24,ARKK,2022-07-16,80,Put,3.45,3.65,3.55,0.4530,-0.10,0.00,-0.01,0.23
2021-06-24,ARKK,2022-07-16,85,Put,4.40,4.60,4.50,0.4463,-0.13,0.00,-0.01,0.27
2021-06-24,ARKK,2022-07-16,90,Put,5.45,5.70,5.575,0.4389,-0.15,0.00,-0.02,0.30
2021-06-24,ARKK,2022-07-16,95,Put,6.75,7.00,6.875,0.4337,-0.18,0.00,-0.02,0.34
2021-06-24,ARKK,2022-07-16,100,Put,8.20,8.50,8.35,0.4286,-0.21,0.01,-0.02,0.37
2021-06-24,ARKK,2022-07-16,105,Put,9.90,10.20,10.05,0.4248,-0.25,0.01,-0.02,0.40
2021-06-24,ARKK,2022-07-16,110,Put,11.80,12.10,11.95,0.4212,-0.28,0.01,-0.02,0.43
2021-06-24,ARKK,2022-07-16,115,Put,13.95,14.25,14.10,0.4191,-0.32,0.01,-0.02,0.46
2021-06-24,ARKK,2022-07-16,120,Put,16.30,16.60,16.45,0.4170,-0.36,0.01,-0.02,0.48
2021-06-24,ARKK,2022-07-16,125,Put,18.85,19.15,19.00,0.4152,-0.39,0.01,-0.02,0.49
2021-06-24,ARKK,2022-07-16,130,Put,21.70,22.05,21.875,0.4163,-0.43,0.01,-0.02,0.50
2021-06-24,ARKK,2022-07-16,135,Put,24.70,25.10,24.90,0.4167,-0.47,0.01,-0.02,0.51
2021-06-24,ARKK,2022-07-16,140,Put,27.05,28.35,27.70,0.4093,-0.51,0.01,-0.02,0.51
2021-06-24,ARKK,2022-07-16,145,Put,31.25,31.80,31.525,0.4191,-0.54,0.01,-0.02,0.50
2021-06-24,ARKK,2022-07-16,150,Put,34.90,35.90,35.40,0.4272,-0.56,0.01,-0.02,0.50
2021-06-24,ARKK,2022-07-16,155,Put,38.65,39.20,38.925,0.4255,-0.60,0.01,-0.02,0.48
2021-06-24,ARKK,2022-07-16,160,Put,42.55,43.40,42.975,0.4322,-0.62,0.01,-0.02,0.47
2021-06-24,ARKK,2022-07-16,165,Put,46.65,47.25,46.95,0.4352,-0.65,0.01,-0.02,0.46
2021-06-24,ARKK,2022-07-16,170,Put,50.85,52.15,51.50,0.4490,-0.66,0.01,-0.02,0.45
2021-06-24,ARKK,2022-07-16,175,Put,55.20,55.90,55.55,0.4499,-0.69,0.01,-0.02,0.43
2021-06-24,ARKK,2022-07-16,180,Put,59.50,60.70,60.10,0.4610,-0.70,0.01,-0.02,0.42
2021-06-24,ARKK,2022-07-16,185,Put,64.10,64.95,64.525,0.4679,-0.72,0.01,-0.02,0.40
