Date,Symbol,Expiration,Strike,Call/Put,Bid,Ask,Mid,IV,Delta,Gamma,Theta,Vega
2021-03-25,ARKK,2022-01-21,42.96,Put,.80,.85,0.83,0.6702,-.02,.00,-.01,.06
2021-03-25,ARKK,2022-01-21,47.96,Put,.95,1.30,1.13,0.6451,-.03,.00,-.01,.08
2021-03-25,ARKK,2022-01-21,52.96,Put,1.20,1.75,1.48,0.6200,-.04,.00,-.01,.10
2021-03-25,ARKK,2022-01-21,57.96,Put,1.75,2.05,1.90,0.5971,-.06,.00,-.01,.12
2021-03-25,ARKK,2022-01-21,60,Put,2.00,2.25,2.13,0.5905,-.06,.00,-.01,.13
2021-03-25,ARKK,2022-01-21,62.96,Put,2.30,2.70,2.50,0.5822,-.07,.00,-.01,.15
2021-03-25,ARKK,2022-01-21,65,Put,2.60,3.00,2.80,0.5778,-.08,.00,-.01,.16
2021-03-25,ARKK,2022-01-21,67.96,Put,3.00,3.50,3.25,0.5700,-.09,.00,-.02,.17
2021-03-25,ARKK,2022-01-21,70.96,Put,3.60,4.00,3.80,0.5647,-.11,.00,-.02,.19
2021-03-25,ARKK,2022-01-21,71.96,Put,3.70,4.30,4.00,0.5632,-.11,.00,-.02,.20
2021-03-25,ARKK,2022-01-21,72.96,Put,3.90,4.50,4.20,0.5614,-.12,.00,-.02,.20
2021-03-25,ARKK,2022-01-21,73.96,Put,4.10,4.70,4.40,0.5593,-.12,.00,-.02,.21
2021-03-25,ARKK,2022-01-21,74.96,Put,4.30,4.90,4.60,0.5569,-.13,.00,-.02,.22
2021-03-25,ARKK,2022-01-21,75.96,Put,4.60,5.20,4.90,0.5588,-.13,.00,-.02,.22
2021-03-25,ARKK,2022-01-21,76.96,Put,4.80,5.40,5.10,0.5558,-.14,.00,-.02,.23
2021-03-25,ARKK,2022-01-21,77.96,Put,5.00,5.60,5.30,0.5527,-.14,.00,-.02,.23
2021-03-25,ARKK,2022-01-21,78.96,Put,5.20,5.90,5.55,0.5514,-.15,.00,-.02,.24
2021-03-25,ARKK,2022-01-21,79.96,Put,5.50,6.20,5.85,0.5519,-.15,.00,-.02,.25
2021-03-25,ARKK,2022-01-21,80.96,Put,5.80,6.10,5.95,0.5441,-.16,.00,-.02,.25
2021-03-25,ARKK,2022-01-21,81.96,Put,6.00,6.70,6.35,0.5479,-.16,.00,-.02,.26
2021-03-25,ARKK,2022-01-21,82.96,Put,6.20,7.00,6.60,0.5456,-.17,.00,-.02,.26
2021-03-25,ARKK,2022-01-21,83.96,Put,6.50,7.30,6.90,0.5448,-.18,.00,-.02,.27
2021-03-25,ARKK,2022-01-21,84.96,Put,6.80,7.60,7.20,0.5439,-.18,.00,-.02,.28
2021-03-25,ARKK,2022-01-21,85.96,Put,7.10,7.90,7.50,0.5426,-.19,.00,-.02,.28
2021-03-25,ARKK,2022-01-21,86.96,Put,7.40,8.20,7.80,0.5411,-.19,.00,-.02,.29
2021-03-25,ARKK,2022-01-21,87.96,Put,7.70,8.60,8.15,0.5411,-.20,.01,-.02,.29
2021-03-25,ARKK,2022-01-21,88.96,Put,8.00,9.00,8.50,0.5408,-.21,.01,-.02,.30
2021-03-25,ARKK,2022-01-21,89.96,Put,8.40,9.30,8.85,0.5402,-.21,.01,-.02,.30
2021-03-25,ARKK,2022-01-21,90.96,Put,8.70,9.60,9.15,0.5377,-.22,.01,-.02,.31
2021-03-25,ARKK,2022-01-21,91.96,Put,9.00,10.00,9.50,0.5367,-.23,.01,-.02,.31
2021-03-25,ARKK,2022-01-21,92.96,Put,9.40,10.40,9.90,0.5370,-.23,.01,-.03,.32
2021-03-25,ARKK,2022-01-21,93.96,Put,9.80,10.80,10.30,0.5370,-.24,.01,-.03,.33
2021-03-25,ARKK,2022-01-21,94.96,Put,10.10,11.20,10.65,0.5352,-.25,.01,-.03,.33
2021-03-25,ARKK,2022-01-21,95.96,Put,10.50,11.60,11.05,0.5347,-.26,.01,-.03,.33
