date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2021-12-08,ARKK,2022-07-16,55,Put,1.60,1.75,1.675,0.6340,-0.06,0.00,-0.01,0.10
2021-12-08,ARKK,2022-07-16,60,Put,2.05,2.26,2.155,0.6043,-0.08,0.00,-0.02,0.12
2021-12-08,ARKK,2022-07-16,65,Put,2.70,2.86,2.780,0.5797,-0.10,0.00,-0.02,0.14
2021-12-08,ARKK,2022-07-16,70,Put,3.40,3.65,3.525,0.5559,-0.13,0.00,-0.02,0.17
2021-12-08,ARKK,2022-07-16,75,Put,4.25,4.55,4.400,0.5325,-0.16,0.01,-0.02,0.19
2021-12-08,ARKK,2022-07-16,80,Put,5.30,5.65,5.475,0.5120,-0.20,0.01,-0.02,0.22
2021-12-08,ARKK,2022-07-16,85,Put,6.60,6.90,6.750,0.4929,-0.24,0.01,-0.03,0.24
2021-12-08,ARKK,2022-07-16,90,Put,8.10,8.50,8.300,0.4770,-0.28,0.01,-0.03,0.27
2021-12-08,ARKK,2022-07-16,95,Put,9.90,10.35,10.125,0.4631,-0.33,0.01,-0.03,0.29
2021-12-08,ARKK,2022-07-16,100,Put,11.95,12.55,12.250,0.4511,-0.39,0.01,-0.03,0.30
2021-12-08,ARKK,2022-07-16,105,Put,14.55,15.10,14.825,0.4455,-0.44,0.01,-0.03,0.31
2021-12-08,ARKK,2022-07-16,110,Put,17.45,18.00,17.725,0.4420,-0.50,0.01,-0.03,0.31
2021-12-08,ARKK,2022-07-16,115,Put,20.65,21.30,20.975,0.4419,-0.55,0.01,-0.03,0.31
2021-12-08,ARKK,2022-07-16,120,Put,24.15,24.90,24.525,0.4444,-0.59,0.01,-0.03,0.30
2021-12-08,ARKK,2022-07-16,125,Put,27.95,28.70,28.325,0.4489,-0.63,0.01,-0.03,0.29
2021-12-08,ARKK,2022-07-16,130,Put,32.05,32.80,32.425,0.4586,-0.67,0.01,-0.03,0.28
2021-12-08,ARKK,2022-07-16,135,Put,36.30,36.95,36.625,0.4674,-0.70,0.01,-0.03,0.26
2021-12-08,ARKK,2022-07-16,140,Put,40.65,41.40,41.025,0.4802,-0.72,0.01,-0.03,0.25
2021-12-08,ARKK,2022-07-16,145,Put,45.05,46.00,45.525,0.4943,-0.74,0.01,-0.02,0.24
2021-12-08,ARKK,2022-07-16,150,Put,49.75,50.65,50.200,0.5137,-0.75,0.01,-0.02,0.23
2021-12-08,ARKK,2022-07-16,155,Put,54.40,55.40,54.900,0.5329,-0.75,0.01,-0.02,0.23
2021-12-08,ARKK,2022-07-16,160,Put,58.80,60.20,59.500,0.5464,-0.76,0.01,-0.02,0.22
2021-12-08,ARKK,2022-07-16,165,Put,64.25,65.10,64.675,0.5856,-0.75,0.00,-0.03,0.22
2021-12-08,ARKK,2022-07-16,170,Put,69.15,69.95,69.550,0.6107,-0.75,0.00,-0.03,0.22
2021-12-08,ARKK,2022-07-16,175,Put,73.75,74.80,74.275,0.6286,-0.76,0.00,-0.03,0.21
2021-12-08,ARKK,2022-07-16,180,Put,78.80,79.70,79.250,0.6579,-0.75,0.00,-0.03,0.21
2021-12-08,ARKK,2022-07-16,185,Put,83.65,84.70,84.175,0.6848,-0.75,0.00,-0.03,0.21
2021-12-08,ARKK,2022-07-16,190,Put,88.70,89.75,89.225,0.7176,-0.74,0.00,-0.03,0.21
2021-12-08,ARKK,2022-07-16,195,Put,93.35,94.65,94.000,0.7373,-0.74,0.00,-0.03,0.21
