date,arkk,position_value,cost_basis,cum_realized,net_pl,reserve,n_contracts,action
2022-02-02,73.14,25892.5,4972.36,8342.36,29262.5,103370.0,10,HOLD
2022-02-09,76.11,24240.0,4972.36,8342.36,27610.0,103370.0,10,HOLD
2022-02-16,72.87,26182.5,4972.36,8342.36,29552.5,103370.0,10,HOLD
2022-02-23,60.88,36615.0,4972.36,8342.36,39985.0,103370.0,10,HOLD
2022-03-02,67.56,30302.5,4972.36,8342.36,33672.5,103370.0,10,HOLD
2022-03-09,61.71,35227.5,4972.36,8342.36,38597.5,103370.0,10,HOLD
2022-03-16,60.04,37417.5,4972.36,8342.36,40787.5,103370.0,10,HOLD
2022-03-23,65.67,31212.5,4972.36,8342.36,34582.5,103370.0,10,HOLD
2022-03-30,68.68,28795.0,4972.36,8342.36,32165.0,103370.0,10,HOLD
2022-04-06,63.4,33315.0,4972.36,8342.36,36685.0,103370.0,10,HOLD
2022-04-13,61.73,34932.5,4972.36,8342.36,38302.5,103370.0,10,HOLD
2022-04-20,56.13,39885.0,4972.36,8342.36,43255.0,103370.0,10,HOLD
2022-04-27,49.56,39885.0,4972.36,8342.36,43255.0,103370.0,10,HOLD
2022-05-04,52.43,59642.5,4972.36,8342.36,63012.5,103370.0,10,HOLD
2022-05-11,36.93,59642.5,4972.36,8342.36,63012.5,103370.0,10,HOLD
