date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2022-04-13,ARKK,2022-07-16,30,Put,0.28,0.38,0.330,0.8469,-0.03,0.00,-0.01,0.02
2022-04-13,ARKK,2022-07-16,35,Put,0.49,0.62,0.555,0.7708,-0.05,0.00,-0.01,0.03
2022-04-13,ARKK,2022-07-16,40,Put,0.87,0.94,0.905,0.7042,-0.08,0.01,-0.02,0.05
2022-04-13,ARKK,2022-07-16,45,Put,1.50,1.59,1.545,0.6612,-0.13,0.01,-0.02,0.07
2022-04-13,ARKK,2022-07-16,49.22,Put,2.31,2.40,2.355,0.6313,-0.19,0.01,-0.03,0.08
2022-04-13,ARKK,2022-07-16,50,Put,2.49,2.59,2.540,0.6266,-0.20,0.01,-0.03,0.09
2022-04-13,ARKK,2022-07-16,51,Put,2.71,2.84,2.775,0.6187,-0.21,0.02,-0.03,0.09
2022-04-13,ARKK,2022-07-16,52,Put,3.00,3.15,3.075,0.6161,-0.23,0.02,-0.03,0.10
2022-04-13,ARKK,2022-07-16,53,Put,3.30,3.45,3.375,0.6114,-0.25,0.02,-0.03,0.10
2022-04-13,ARKK,2022-07-16,54,Put,3.60,3.75,3.675,0.6049,-0.27,0.02,-0.03,0.10
2022-04-13,ARKK,2022-07-16,54.22,Put,3.65,3.80,3.725,0.6017,-0.27,0.02,-0.03,0.10
2022-04-13,ARKK,2022-07-16,55,Put,3.95,4.10,4.025,0.6014,-0.29,0.02,-0.03,0.11
2022-04-13,ARKK,2022-07-16,56,Put,4.30,4.40,4.350,0.5937,-0.31,0.02,-0.03,0.11
2022-04-13,ARKK,2022-07-16,57,Put,4.65,4.80,4.725,0.5889,-0.33,0.02,-0.03,0.11
2022-04-13,ARKK,2022-07-16,58,Put,5.05,5.20,5.125,0.5845,-0.35,0.02,-0.03,0.12
2022-04-13,ARKK,2022-07-16,59,Put,5.45,5.60,5.525,0.5783,-0.37,0.02,-0.03,0.12
2022-04-13,ARKK,2022-07-16,59.22,Put,5.55,5.70,5.625,0.5777,-0.38,0.02,-0.03,0.12
2022-04-13,ARKK,2022-07-16,64.22,Put,8.05,8.20,8.125,0.5601,-0.49,0.02,-0.04,0.12
2022-04-13,ARKK,2022-07-16,69.22,Put,11.10,11.30,11.200,0.5467,-0.60,0.02,-0.03,0.12
2022-04-13,ARKK,2022-07-16,74.22,Put,14.75,15.00,14.875,0.5451,-0.69,0.02,-0.03,0.11
2022-04-13,ARKK,2022-07-16,75,Put,15.35,15.65,15.500,0.5464,-0.70,0.02,-0.03,0.11
2022-04-13,ARKK,2022-07-16,76,Put,16.20,16.45,16.325,0.5493,-0.72,0.02,-0.03,0.10
2022-04-13,ARKK,2022-07-16,77,Put,16.95,17.30,17.125,0.5487,-0.73,0.02,-0.03,0.10
2022-04-13,ARKK,2022-07-16,78,Put,17.85,18.10,17.975,0.5519,-0.75,0.02,-0.03,0.10
2022-04-13,ARKK,2022-07-16,79,Put,18.65,19.00,18.825,0.5542,-0.76,0.02,-0.03,0.09
2022-04-13,ARKK,2022-07-16,79.22,Put,18.90,19.15,19.025,0.5559,-0.76,0.02,-0.02,0.09
2022-04-13,ARKK,2022-07-16,80,Put,19.60,19.85,19.725,0.5609,-0.77,0.02,-0.02,0.09
2022-04-13,ARKK,2022-07-16,81,Put,20.40,21.05,20.725,0.5781,-0.77,0.02,-0.02,0.09
2022-04-13,ARKK,2022-07-16,82,Put,21.30,21.60,21.450,0.5637,-0.79,0.01,-0.02,0.09
2022-04-13,ARKK,2022-07-16,83,Put,22.20,22.55,22.375,0.5713,-0.80,0.01,-0.02,0.08
2022-04-13,ARKK,2022-07-16,84,Put,23.10,23.45,23.275,0.5753,-0.81,0.01,-0.02,0.08
2022-04-13,ARKK,2022-07-16,84.22,Put,23.35,23.65,23.500,0.5794,-0.81,0.01,-0.02,0.08
2022-04-13,ARKK,2022-07-16,85,Put,24.05,24.35,24.200,0.5818,-0.81,0.01,-0.02,0.08
2022-04-13,ARKK,2022-07-16,89.22,Put,28.00,28.30,28.150,0.6114,-0.83,0.01,-0.02,0.07
2022-04-13,ARKK,2022-07-16,94.22,Put,32.85,33.10,32.975,0.6624,-0.83,0.01,-0.02,0.07
2022-04-13,ARKK,2022-07-16,99.22,Put,37.65,38.00,37.825,0.7159,-0.83,0.01,-0.02,0.07
2022-04-13,ARKK,2022-07-16,104.22,Put,42.55,42.95,42.750,0.7813,-0.82,0.00,-0.02,0.07
2022-04-13,ARKK,2022-07-16,109.22,Put,47.50,47.80,47.650,0.8437,-0.81,0.00,-0.03,0.07
2022-04-13,ARKK,2022-07-16,114.22,Put,52.30,52.80,52.550,0.9071,-0.80,0.00,-0.03,0.07
2022-04-13,ARKK,2022-07-16,119.22,Put,57.35,57.75,57.550,0.9871,-0.78,0.00,-0.03,0.07
2022-04-13,ARKK,2022-07-16,124.22,Put,62.40,62.70,62.550,1.0647,-0.77,0.00,-0.04,0.07
2022-04-13,ARKK,2022-07-16,129.22,Put,67.30,67.70,67.500,1.1370,-0.75,0.00,-0.04,0.07
2022-04-13,ARKK,2022-07-16,134.22,Put,72.30,72.65,72.475,1.2130,-0.74,0.00,-0.05,0.08
2022-04-13,ARKK,2022-07-16,139.22,Put,77.30,77.65,77.475,1.2924,-0.72,0.00,-0.05,0.08
2022-04-13,ARKK,2022-07-16,144.22,Put,82.35,82.65,82.500,1.3750,-0.70,0.00,-0.06,0.08
2022-04-13,ARKK,2022-07-16,149.22,Put,87.35,87.65,87.500,1.4544,-0.68,0.00,-0.06,0.08
