date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2020-10-15,ARKK,2022-01-21,45,Put,0.50,5.00,2.75,0.6561,-0.06,0.00,-0.01,0.14
2020-10-15,ARKK,2022-01-21,50,Put,2.15,2.45,2.30,0.5582,-0.06,0.00,-0.01,0.14
2020-10-15,ARKK,2022-01-21,55,Put,3.00,3.40,3.20,0.5537,-0.08,0.00,-0.01,0.18
2020-10-15,ARKK,2022-01-21,60,Put,4.00,4.40,4.20,0.5454,-0.11,0.00,-0.01,0.21
2020-10-15,ARKK,2022-01-21,65,Put,5.20,5.60,5.40,0.5390,-0.13,0.00,-0.01,0.24
2020-10-15,ARKK,2022-01-21,70,Put,6.50,7.00,6.75,0.5318,-0.16,0.00,-0.01,0.28
2020-10-15,ARKK,2022-01-21,73,Put,7.50,8.00,7.75,0.5312,-0.17,0.00,-0.01,0.30
2020-10-15,ARKK,2022-01-21,74,Put,7.80,8.30,8.05,0.5293,-0.18,0.00,-0.01,0.31
2020-10-15,ARKK,2022-01-21,75,Put,7.40,8.50,7.95,0.5143,-0.18,0.00,-0.01,0.31
2020-10-15,ARKK,2022-01-21,76,Put,7.80,9.30,8.55,0.5219,-0.19,0.00,-0.02,0.32
2020-10-15,ARKK,2022-01-21,77,Put,8.50,9.70,9.10,0.5273,-0.20,0.00,-0.02,0.32
2020-10-15,ARKK,2022-01-21,78,Put,8.60,9.70,9.15,0.5170,-0.20,0.00,-0.02,0.33
2020-10-15,ARKK,2022-01-21,79,Put,8.60,10.90,9.75,0.5234,-0.21,0.00,-0.02,0.33
2020-10-15,ARKK,2022-01-21,80,Put,9.20,11.10,10.15,0.5233,-0.22,0.00,-0.02,0.34
2020-10-15,ARKK,2022-01-21,81,Put,9.60,11.60,10.60,0.5245,-0.22,0.01,-0.02,0.35
2020-10-15,ARKK,2022-01-21,82,Put,9.90,11.60,10.75,0.5169,-0.23,0.01,-0.02,0.35
2020-10-15,ARKK,2022-01-21,83,Put,10.30,12.30,11.30,0.5204,-0.24,0.01,-0.02,0.36
2020-10-15,ARKK,2022-01-21,84,Put,10.70,12.40,11.55,0.5154,-0.24,0.01,-0.02,0.36
2020-10-15,ARKK,2022-01-21,85,Put,11.20,12.90,12.05,0.5171,-0.25,0.01,-0.02,0.37
2020-10-15,ARKK,2022-01-21,86,Put,11.40,13.20,12.30,0.5118,-0.25,0.01,-0.02,0.37
2020-10-15,ARKK,2022-01-21,87,Put,11.90,13.60,12.75,0.5118,-0.26,0.01,-0.02,0.38
2020-10-15,ARKK,2022-01-21,88,Put,12.40,14.10,13.25,0.5128,-0.27,0.01,-0.02,0.38
2020-10-15,ARKK,2022-01-21,89,Put,12.60,14.50,13.55,0.5085,-0.28,0.01,-0.02,0.39
2020-10-15,ARKK,2022-01-21,90,Put,13.50,14.70,14.10,0.5104,-0.28,0.01,-0.02,0.39
2020-10-15,ARKK,2022-01-21,91,Put,13.70,15.50,14.60,0.5109,-0.29,0.01,-0.02,0.39
2020-10-15,ARKK,2022-01-21,92,Put,14.00,15.90,14.95,0.5073,-0.30,0.01,-0.02,0.40
2020-10-15,ARKK,2022-01-21,93,Put,14.60,16.60,15.60,0.5112,-0.30,0.01,-0.02,0.40
2020-10-15,ARKK,2022-01-21,94,Put,14.90,17.10,16.00,0.5086,-0.31,0.01,-0.02,0.41
2020-10-15,ARKK,2022-01-21,95,Put,15.80,17.40,16.60,0.5107,-0.32,0.01,-0.02,0.41
2020-10-15,ARKK,2022-01-21,96,Put,16.10,17.90,17.00,0.5078,-0.32,0.01,-0.02,0.41
2020-10-15,ARKK,2022-01-21,97,Put,16.30,18.60,17.45,0.5060,-0.33,0.01,-0.02,0.42
2020-10-15,ARKK,2022-01-21,98,Put,17.00,19.30,18.15,0.5099,-0.34,0.01,-0.02,0.42
2020-10-15,ARKK,2022-01-21,99,Put,17.60,19.50,18.55,0.5066,-0.34,0.01,-0.02,0.42
2020-10-15,ARKK,2022-01-21,100,Put,18.00,20.50,19.25,0.5102,-0.35,0.01,-0.02,0.43
2020-10-15,ARKK,2022-01-21,101,Put,18.50,21.00,19.75,0.5089,-0.36,0.01,-0.02,0.43
2020-10-15,ARKK,2022-01-21,105,Put,20.50,24.10,22.30,0.5149,-0.38,0.01,-0.02,0.44
2020-10-15,ARKK,2022-01-21,110,Put,23.70,25.00,24.35,0.4933,-0.42,0.01,-0.02,0.45
2020-10-15,ARKK,2022-01-21,115,Put,27.30,28.10,27.70,0.4977,-0.45,0.01,-0.02,0.45
2020-10-15,ARKK,2022-01-21,120,Put,30.70,31.50,31.10,0.4998,-0.49,0.01,-0.02,0.45
2020-10-15,ARKK,2022-01-21,125,Put,34.10,35.40,34.75,0.5045,-0.51,0.01,-0.02,0.45
2020-10-15,ARKK,2022-01-21,130,Put,37.70,38.90,38.30,0.5041,-0.54,0.01,-0.02,0.45
2020-10-15,ARKK,2022-01-21,135,Put,41.40,43.10,42.25,0.5102,-0.57,0.01,-0.02,0.44
2020-10-15,ARKK,2022-01-21,140,Put,45.30,46.40,45.85,0.5060,-0.60,0.01,-0.02,0.43
2020-10-15,ARKK,2022-01-21,145,Put,49.00,50.40,49.70,0.5051,-0.63,0.01,-0.02,0.42
2020-10-15,ARKK,2022-01-21,150,Put,53.30,54.00,53.65,0.5044,-0.65,0.01,-0.02,0.40
