date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2021-09-16,ARKK,2022-01-21,47.96,Put,0.25,0.34,0.295,0.7740,-0.01,0.00,-0.01,0.02
2021-09-16,ARKK,2022-01-21,52.96,Put,0.37,0.58,0.475,0.7555,-0.02,0.00,-0.01,0.03
2021-09-16,ARKK,2022-01-21,55,Put,0.41,0.50,0.455,0.7182,-0.02,0.00,-0.01,0.04
2021-09-16,ARKK,2022-01-21,57.96,Put,0.51,0.70,0.605,0.7115,-0.03,0.00,-0.01,0.04
2021-09-16,ARKK,2022-01-21,60,Put,0.58,0.79,0.685,0.6982,-0.03,0.00,-0.01,0.05
2021-09-16,ARKK,2022-01-21,62.96,Put,0.64,0.90,0.77,0.6714,-0.04,0.00,-0.01,0.05
2021-09-16,ARKK,2022-01-21,65,Put,0.74,0.88,0.81,0.6494,-0.04,0.00,-0.01,0.06
2021-09-16,ARKK,2022-01-21,67.96,Put,0.86,1.12,0.99,0.6362,-0.05,0.00,-0.02,0.07
2021-09-16,ARKK,2022-01-21,70.96,Put,1.01,1.10,1.055,0.6039,-0.05,0.00,-0.02,0.07
2021-09-16,ARKK,2022-01-21,71.96,Put,1.06,1.15,1.105,0.5969,-0.05,0.00,-0.02,0.08
2021-09-16,ARKK,2022-01-21,72.96,Put,1.12,1.22,1.17,0.5916,-0.06,0.00,-0.02,0.08
2021-09-16,ARKK,2022-01-21,73.96,Put,1.17,1.27,1.22,0.5842,-0.06,0.00,-0.02,0.08
2021-09-16,ARKK,2022-01-21,74.96,Put,1.22,1.32,1.27,0.5766,-0.06,0.00,-0.02,0.09
2021-09-16,ARKK,2022-01-21,75.96,Put,1.29,1.38,1.335,0.5705,-0.07,0.00,-0.02,0.09
2021-09-16,ARKK,2022-01-21,76.96,Put,1.35,1.45,1.40,0.5641,-0.07,0.00,-0.02,0.09
2021-09-16,ARKK,2022-01-21,77.96,Put,1.42,1.51,1.465,0.5576,-0.07,0.00,-0.02,0.10
2021-09-16,ARKK,2022-01-21,78.96,Put,1.48,1.61,1.545,0.5523,-0.08,0.00,-0.02,0.10
2021-09-16,ARKK,2022-01-21,79.96,Put,1.55,1.68,1.615,0.5457,-0.08,0.00,-0.02,0.11
2021-09-16,ARKK,2022-01-21,80.96,Put,1.63,1.72,1.675,0.5380,-0.08,0.00,-0.02,0.11
2021-09-16,ARKK,2022-01-21,81.96,Put,1.70,1.81,1.755,0.5319,-0.09,0.00,-0.02,0.11
2021-09-16,ARKK,2022-01-21,82.96,Put,1.80,1.89,1.845,0.5264,-0.09,0.00,-0.02,0.12
2021-09-16,ARKK,2022-01-21,83.96,Put,1.88,1.99,1.935,0.5206,-0.10,0.00,-0.02,0.12
2021-09-16,ARKK,2022-01-21,84.96,Put,1.97,2.08,2.025,0.5146,-0.10,0.00,-0.02,0.13
2021-09-16,ARKK,2022-01-21,85.96,Put,2.06,2.18,2.12,0.5086,-0.11,0.01,-0.03,0.13
2021-09-16,ARKK,2022-01-21,86.96,Put,2.16,2.28,2.22,0.5028,-0.11,0.01,-0.03,0.13
2021-09-16,ARKK,2022-01-21,87.96,Put,2.26,2.39,2.325,0.4971,-0.12,0.01,-0.03,0.14
2021-09-16,ARKK,2022-01-21,88.96,Put,2.38,2.49,2.435,0.4915,-0.12,0.01,-0.03,0.14
2021-09-16,ARKK,2022-01-21,89.96,Put,2.49,2.60,2.545,0.4855,-0.13,0.01,-0.03,0.15
2021-09-16,ARKK,2022-01-21,90.96,Put,2.61,2.73,2.67,0.4803,-0.14,0.01,-0.03,0.15
2021-09-16,ARKK,2022-01-21,91.96,Put,2.74,2.86,2.80,0.4750,-0.14,0.01,-0.03,0.16
2021-09-16,ARKK,2022-01-21,92.96,Put,2.88,2.99,2.935,0.4698,-0.15,0.01,-0.03,0.16
2021-09-16,ARKK,2022-01-21,93.96,Put,3.00,3.15,3.075,0.4645,-0.16,0.01,-0.03,0.17
2021-09-16,ARKK,2022-01-21,94.96,Put,3.15,3.30,3.225,0.4595,-0.17,0.01,-0.03,0.17
2021-09-16,ARKK,2022-01-21,95.96,Put,3.30,3.45,3.375,0.4541,-0.17,0.01,-0.03,0.18
2021-09-16,ARKK,2022-01-21,96.96,Put,3.50,3.65,3.575,0.4511,-0.18,0.01,-0.03,0.18
2021-09-16,ARKK,2022-01-21,97.96,Put,3.65,3.80,3.725,0.4450,-0.19,0.01,-0.03,0.19
2021-09-16,ARKK,2022-01-21,98.96,Put,3.85,4.00,3.925,0.4412,-0.20,0.01,-0.03,0.20
2021-09-16,ARKK,2022-01-21,100,Put,4.05,4.20,4.125,0.4364,-0.21,0.01,-0.03,0.20
2021-09-16,ARKK,2022-01-21,102.96,Put,4.70,4.85,4.775,0.4243,-0.24,0.01,-0.03,0.22
2021-09-16,ARKK,2022-01-21,105,Put,5.20,5.40,5.30,0.4172,-0.26,0.01,-0.04,0.23
2021-09-16,ARKK,2022-01-21,107.96,Put,6.00,6.20,6.10,0.4054,-0.30,0.01,-0.04,0.24
2021-09-16,ARKK,2022-01-21,110,Put,6.60,7.65,7.125,0.4139,-0.33,0.01,-0.04,0.25
2021-09-16,ARKK,2022-01-21,112.96,Put,7.70,7.90,7.80,0.3902,-0.36,0.01,-0.04,0.26
2021-09-16,ARKK,2022-01-21,115,Put,8.50,8.75,8.625,0.3855,-0.39,0.01,-0.04,0.27
2021-09-16,ARKK,2022-01-21,117.96,Put,9.80,10.05,9.925,0.3786,-0.44,0.01,-0.04,0.27
2021-09-16,ARKK,2022-01-21,120,Put,10.75,11.00,10.875,0.3733,-0.47,0.02,-0.04,0.28
2021-09-16,ARKK,2022-01-21,122.96,Put,12.35,12.65,12.50,0.3705,-0.51,0.02,-0.04,0.28
2021-09-16,ARKK,2022-01-21,125,Put,13.50,13.75,13.625,0.3660,-0.54,0.02,-0.04,0.28
2021-09-16,ARKK,2022-01-21,127.96,Put,15.30,15.65,15.475,0.3637,-0.59,0.02,-0.04,0.27
2021-09-16,ARKK,2022-01-21,130,Put,16.65,17.05,16.85,0.3633,-0.62,0.01,-0.03,0.26
2021-09-16,ARKK,2022-01-21,132.96,Put,18.85,19.15,19.00,0.3652,-0.65,0.01,-0.03,0.25
2021-09-16,ARKK,2022-07-16,55,Put,1.05,1.15,1.10,0.5636,-0.04,0.00,-0.01,0.09
2021-09-16,ARKK,2022-07-16,60,Put,1.45,1.60,1.525,0.5500,-0.05,0.00,-0.01,0.11
2021-09-16,ARKK,2022-07-16,65,Put,1.88,2.05,1.965,0.5306,-0.06,0.00,-0.01,0.14
2021-09-16,ARKK,2022-07-16,70,Put,2.45,2.58,2.515,0.5136,-0.08,0.00,-0.01,0.16
2021-09-16,ARKK,2022-07-16,75,Put,3.00,3.25,3.125,0.4951,-0.10,0.00,-0.01,0.19
2021-09-16,ARKK,2022-07-16,80,Put,3.80,4.00,3.90,0.4801,-0.12,0.00,-0.02,0.22
2021-09-16,ARKK,2022-07-16,85,Put,4.60,4.90,4.75,0.4635,-0.15,0.00,-0.02,0.25
2021-09-16,ARKK,2022-07-16,90,Put,5.65,5.95,5.80,0.4499,-0.18,0.01,-0.02,0.28
2021-09-16,ARKK,2022-07-16,95,Put,6.85,7.20,7.025,0.4372,-0.21,0.01,-0.02,0.31
2021-09-16,ARKK,2022-07-16,100,Put,8.35,8.65,8.50,0.4271,-0.25,0.01,-0.02,0.34
2021-09-16,ARKK,2022-07-16,105,Put,10.00,11.10,10.55,0.4276,-0.29,0.01,-0.02,0.37
2021-09-16,ARKK,2022-07-16,110,Put,12.05,12.35,12.20,0.4116,-0.33,0.01,-0.02,0.39
2021-09-16,ARKK,2022-07-16,115,Put,14.25,14.60,14.425,0.4055,-0.38,0.01,-0.02,0.41
2021-09-16,ARKK,2022-07-16,120,Put,16.75,17.10,16.925,0.4007,-0.43,0.01,-0.02,0.42
2021-09-16,ARKK,2022-07-16,125,Put,19.55,19.95,19.75,0.3985,-0.47,0.01,-0.02,0.42
2021-09-16,ARKK,2022-07-16,130,Put,22.65,23.10,22.875,0.3984,-0.51,0.01,-0.02,0.42
2021-09-16,ARKK,2022-07-16,135,Put,25.90,26.65,26.275,0.4002,-0.56,0.01,-0.02,0.42
2021-09-16,ARKK,2022-07-16,140,Put,29.55,30.10,29.825,0.4013,-0.60,0.01,-0.02,0.41
2021-09-16,ARKK,2022-07-16,145,Put,33.40,34.05,33.725,0.4072,-0.63,0.01,-0.02,0.39
2021-09-16,ARKK,2022-07-16,150,Put,37.00,39.90,38.45,0.4313,-0.65,0.01,-0.02,0.39
2021-09-16,ARKK,2022-07-16,155,Put,41.65,42.40,42.025,0.4225,-0.68,0.01,-0.02,0.37
2021-09-16,ARKK,2022-07-16,160,Put,45.65,48.20,46.925,0.4473,-0.69,0.01,-0.02,0.36
2021-09-16,ARKK,2022-07-16,165,Put,50.50,51.15,50.825,0.4420,-0.72,0.01,-0.02,0.34
2021-09-16,ARKK,2022-07-16,170,Put,55.15,55.70,55.425,0.4550,-0.73,0.01,-0.02,0.32
2021-09-16,ARKK,2022-07-16,175,Put,59.80,60.40,60.10,0.4693,-0.74,0.01,-0.02,0.31
2021-09-16,ARKK,2022-07-16,180,Put,64.30,66.65,65.475,0.5051,-0.74,0.01,-0.02,0.32
2021-09-16,ARKK,2022-07-16,185,Put,69.00,71.45,70.225,0.5208,-0.74,0.01,-0.02,0.31
2021-09-16,ARKK,2022-07-16,190,Put,73.75,76.20,74.975,0.5359,-0.74,0.01,-0.02,0.30
2021-09-16,ARKK,2022-07-16,195,Put,79.10,79.95,79.525,0.5438,-0.75,0.00,-0.02,0.29
