date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2021-10-07,ARKK,2022-01-21,47.96,Put,0.32,0.50,0.41,0.8480,-0.02,0.00,-0.01,0.03
2021-10-07,ARKK,2022-01-21,52.96,Put,0.46,0.63,0.545,0.7990,-0.03,0.00,-0.01,0.04
2021-10-07,ARKK,2022-01-21,55,Put,0.52,0.62,0.57,0.7698,-0.03,0.00,-0.01,0.04
2021-10-07,ARKK,2022-01-21,57.96,Put,0.61,0.79,0.70,0.7503,-0.03,0.00,-0.02,0.05
2021-10-07,ARKK,2022-01-21,60,Put,0.70,0.79,0.745,0.7255,-0.04,0.00,-0.02,0.05
2021-10-07,ARKK,2022-01-21,62.96,Put,0.81,0.91,0.86,0.6989,-0.04,0.00,-0.02,0.06
2021-10-07,ARKK,2022-01-21,65,Put,0.86,1.00,0.93,0.6781,-0.05,0.00,-0.02,0.06
2021-10-07,ARKK,2022-01-21,67.96,Put,1.03,1.12,1.075,0.6537,-0.06,0.00,-0.02,0.07
2021-10-07,ARKK,2022-01-21,70.96,Put,1.18,1.28,1.23,0.6281,-0.06,0.00,-0.02,0.08
2021-10-07,ARKK,2022-01-21,71.96,Put,1.23,1.33,1.28,0.6189,-0.07,0.00,-0.02,0.08
2021-10-07,ARKK,2022-01-21,72.96,Put,1.29,1.39,1.34,0.6108,-0.07,0.00,-0.02,0.08
2021-10-07,ARKK,2022-01-21,73.96,Put,1.35,1.45,1.40,0.6025,-0.07,0.00,-0.02,0.09
2021-10-07,ARKK,2022-01-21,74.96,Put,1.41,1.45,1.43,0.5905,-0.08,0.00,-0.02,0.09
2021-10-07,ARKK,2022-01-21,75.96,Put,1.50,1.59,1.545,0.5879,-0.08,0.00,-0.03,0.09
2021-10-07,ARKK,2022-01-21,76.96,Put,1.56,1.68,1.62,0.5804,-0.09,0.00,-0.03,0.10
2021-10-07,ARKK,2022-01-21,77.96,Put,1.63,1.74,1.685,0.5716,-0.09,0.00,-0.03,0.10
2021-10-07,ARKK,2022-01-21,78.96,Put,1.71,1.83,1.77,0.5646,-0.10,0.00,-0.03,0.10
2021-10-07,ARKK,2022-01-21,79.96,Put,1.79,1.92,1.855,0.5573,-0.10,0.01,-0.03,0.11
2021-10-07,ARKK,2022-01-21,80.96,Put,1.88,2.00,1.94,0.5496,-0.11,0.01,-0.03,0.11
2021-10-07,ARKK,2022-01-21,81.96,Put,1.97,2.10,2.035,0.5426,-0.11,0.01,-0.03,0.11
2021-10-07,ARKK,2022-01-21,82.96,Put,2.04,2.19,2.115,0.5340,-0.12,0.01,-0.03,0.12
2021-10-07,ARKK,2022-01-21,83.96,Put,2.17,2.29,2.23,0.5280,-0.12,0.01,-0.03,0.12
2021-10-07,ARKK,2022-01-21,84.96,Put,2.22,2.40,2.31,0.5189,-0.13,0.01,-0.03,0.13
2021-10-07,ARKK,2022-01-21,85.96,Put,2.40,2.51,2.455,0.5145,-0.14,0.01,-0.03,0.13
2021-10-07,ARKK,2022-01-21,86.96,Put,2.46,2.63,2.545,0.5055,-0.14,0.01,-0.03,0.14
2021-10-07,ARKK,2022-01-21,87.96,Put,2.64,2.76,2.70,0.5010,-0.15,0.01,-0.03,0.14
