date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2021-02-04,ARKK,2022-01-21,42.96,Put,0.30,0.45,0.38,0.6401,-0.01,0.00,0.00,0.04
2021-02-04,ARKK,2022-01-21,47.96,Put,0.05,2.40,1.23,0.7272,-0.02,0.00,-0.01,0.08
2021-02-04,ARKK,2022-01-21,52.96,Put,0.10,0.95,0.53,0.5708,-0.01,0.00,0.00,0.05
2021-02-04,ARKK,2022-01-21,57.96,Put,0.10,1.95,1.03,0.5953,-0.03,0.00,-0.01,0.09
2021-02-04,ARKK,2022-01-21,62.96,Put,0.70,2.25,1.48,0.5937,-0.03,0.00,-0.01,0.11
2021-02-04,ARKK,2022-01-21,65,Put,0.75,2.25,1.50,0.5770,-0.04,0.00,-0.01,0.12
2021-02-04,ARKK,2022-01-21,67.96,Put,1.10,2.40,1.75,0.5706,-0.04,0.00,-0.01,0.13
2021-02-04,ARKK,2022-01-21,70.96,Put,1.00,2.70,1.85,0.5515,-0.05,0.00,-0.01,0.14
2021-02-04,ARKK,2022-01-21,71.96,Put,1.10,2.80,1.95,0.5499,-0.05,0.00,-0.01,0.14
2021-02-04,ARKK,2022-01-21,72.96,Put,1.10,2.90,2.00,0.5447,-0.05,0.00,-0.01,0.15
2021-02-04,ARKK,2022-01-21,73.96,Put,1.50,2.05,1.78,0.5207,-0.05,0.00,-0.01,0.14
2021-02-04,ARKK,2022-01-21,74.96,Put,1.30,3.10,2.20,0.5406,-0.05,0.00,-0.01,0.16
2021-02-04,ARKK,2022-01-21,75.96,Put,1.50,2.05,1.78,0.5043,-0.05,0.00,-0.01,0.15
2021-02-04,ARKK,2022-01-21,76.96,Put,1.75,2.15,1.95,0.5080,-0.05,0.00,-0.01,0.15
2021-02-04,ARKK,2022-01-21,77.96,Put,2.10,2.30,2.20,0.5155,-0.06,0.00,-0.01,0.16
2021-02-04,ARKK,2022-01-21,78.96,Put,1.90,2.40,2.15,0.5043,-0.06,0.00,-0.01,0.17
2021-02-04,ARKK,2022-01-21,79.96,Put,1.60,2.55,2.08,0.4918,-0.06,0.00,-0.01,0.16
2021-02-04,ARKK,2022-01-21,80.96,Put,2.20,2.65,2.43,0.5042,-0.06,0.00,-0.01,0.18
2021-02-04,ARKK,2022-01-21,81.96,Put,2.35,2.80,2.58,0.5044,-0.07,0.00,-0.01,0.19
2021-02-04,ARKK,2022-01-21,82.96,Put,2.50,2.90,2.70,0.5030,-0.07,0.00,-0.01,0.19
2021-02-04,ARKK,2022-01-21,83.96,Put,2.60,3.10,2.85,0.5026,-0.07,0.00,-0.01,0.20
2021-02-04,ARKK,2022-01-21,84.96,Put,2.75,3.30,3.03,0.5032,-0.08,0.00,-0.01,0.21
2021-02-04,ARKK,2022-01-21,85.96,Put,2.90,3.40,3.15,0.5011,-0.08,0.00,-0.01,0.21
2021-02-04,ARKK,2022-01-21,86.96,Put,3.00,3.60,3.30,0.5000,-0.08,0.00,-0.01,0.22
2021-02-04,ARKK,2022-01-21,87.96,Put,3.20,3.70,3.45,0.4987,-0.08,0.00,-0.01,0.22
2021-02-04,ARKK,2022-01-21,88.96,Put,3.40,3.90,3.65,0.4994,-0.09,0.00,-0.01,0.23
2021-02-04,ARKK,2022-01-21,89.96,Put,3.50,4.10,3.80,0.4977,-0.09,0.00,-0.02,0.24
2021-02-04,ARKK,2022-01-21,90.96,Put,3.70,4.30,4.00,0.4979,-0.10,0.00,-0.02,0.25
2021-02-04,ARKK,2022-01-21,91.96,Put,3.90,4.50,4.20,0.4978,-0.10,0.00,-0.02,0.25
2021-02-04,ARKK,2022-01-21,92.96,Put,4.10,4.70,4.40,0.4975,-0.10,0.00,-0.02,0.26
