date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2021-06-17,ARKK,2022-01-21,42.96,Put,0.20,0.25,0.23,0.6354,-0.01,0.00,0.00,0.02
2021-06-17,ARKK,2022-01-21,47.96,Put,0.30,0.50,0.40,0.6272,-0.02,0.00,-0.01,0.04
2021-06-17,ARKK,2022-01-21,52.96,Put,0.45,0.56,0.51,0.5890,-0.02,0.00,-0.01,0.05
2021-06-17,ARKK,2022-01-21,55,Put,0.50,0.64,0.57,0.5774,-0.02,0.00,-0.01,0.05
2021-06-17,ARKK,2022-01-21,57.96,Put,0.62,0.66,0.64,0.5546,-0.03,0.00,-0.01,0.06
2021-06-17,ARKK,2022-01-21,60,Put,0.81,1.09,0.95,0.5479,-0.04,0.00,-0.01,0.08
2021-06-17,ARKK,2022-01-21,62.96,Put,0.98,1.31,1.15,0.5361,-0.05,0.00,-0.01,0.09
2021-06-17,ARKK,2022-01-21,65,Put,1.12,1.21,1.17,0.5146,-0.05,0.00,-0.01,0.09
2021-06-17,ARKK,2022-01-21,67.96,Put,1.34,1.45,1.40,0.5037,-0.06,0.00,-0.01,0.11
2021-06-17,ARKK,2022-01-21,70.96,Put,1.60,1.72,1.66,0.4927,-0.07,0.00,-0.01,0.12
2021-06-17,ARKK,2022-01-21,71.96,Put,1.70,1.83,1.77,0.4897,-0.08,0.00,-0.01,0.13
2021-06-17,ARKK,2022-01-21,72.96,Put,1.81,1.93,1.87,0.4864,-0.08,0.00,-0.01,0.14
2021-06-17,ARKK,2022-01-21,73.96,Put,1.92,2.04,1.98,0.4853,-0.08,0.00,-0.01,0.14
2021-06-17,ARKK,2022-01-21,74.96,Put,2.04,2.16,2.10,0.4803,-0.09,0.00,-0.01,0.14
2021-06-17,ARKK,2022-01-21,75.96,Put,2.15,2.28,2.22,0.4768,-0.09,0.00,-0.02,0.15
2021-06-17,ARKK,2022-01-21,76.96,Put,2.29,2.40,2.35,0.4739,-0.10,0.00,-0.02,0.16
2021-06-17,ARKK,2022-01-21,77.96,Put,2.42,2.53,2.48,0.4707,-0.10,0.00,-0.02,0.16
2021-06-17,ARKK,2022-01-21,78.96,Put,2.56,2.67,2.62,0.4678,-0.11,0.00,-0.02,0.17
2021-06-17,ARKK,2022-01-21,79.96,Put,2.71,2.82,2.77,0.4652,-0.11,0.00,-0.02,0.17
2021-06-17,ARKK,2022-01-21,80.96,Put,2.86,3.00,2.93,0.4630,-0.12,0.00,-0.02,0.18
2021-06-17,ARKK,2022-01-21,81.96,Put,3.00,3.15,3.08,0.4595,-0.12,0.00,-0.02,0.19
2021-06-17,ARKK,2022-01-21,82.96,Put,3.15,3.35,3.25,0.4572,-0.13,0.01,-0.02,0.19
2021-06-17,ARKK,2022-01-21,83.96,Put,3.35,3.50,3.43,0.4546,-0.14,0.01,-0.02,0.20
2021-06-17,ARKK,2022-01-21,84.96,Put,3.55,3.70,3.63,0.4529,-0.15,0.01,-0.02,0.21
2021-06-17,ARKK,2022-01-21,85.96,Put,3.75,3.85,3.80,0.4496,-0.15,0.01,-0.02,0.21
2021-06-17,ARKK,2022-01-21,86.96,Put,3.95,4.10,4.03,0.4483,-0.16,0.01,-0.02,0.22
2021-06-17,ARKK,2022-01-21,87.96,Put,4.15,4.30,4.23,0.4456,-0.17,0.01,-0.02,0.22
2021-06-17,ARKK,2022-01-21,88.96,Put,4.35,4.50,4.43,0.4425,-0.17,0.01,-0.02,0.23
2021-06-17,ARKK,2022-01-21,89.96,Put,4.60,4.75,4.68,0.4413,-0.18,0.01,-0.02,0.24
2021-06-17,ARKK,2022-01-21,90.96,Put,4.80,4.95,4.88,0.4386,-0.19,0.01,-0.02,0.24
2021-06-17,ARKK,2022-01-21,91.96,Put,5.05,5.20,5.13,0.4357,-0.20,0.01,-0.02,0.25
2021-06-17,ARKK,2022-01-21,92.96,Put,5.30,5.50,5.40,0.4344,-0.21,0.01,-0.02,0.26
2021-06-17,ARKK,2022-01-21,93.96,Put,5.60,5.75,5.68,0.4328,-0.21,0.01,-0.02,0.27
2021-06-17,ARKK,2022-01-21,94.96,Put,5.85,6.05,5.95,0.4308,-0.22,0.01,-0.02,0.27
2021-06-17,ARKK,2022-01-21,95.96,Put,6.15,6.35,6.25,0.4295,-0.23,0.01,-0.02,0.28
2021-06-17,ARKK,2022-01-21,96.96,Put,6.45,6.65,6.55,0.4278,-0.24,0.01,-0.02,0.28
2021-06-17,ARKK,2022-01-21,97.96,Put,6.75,6.95,6.85,0.4257,-0.25,0.01,-0.02,0.29
2021-06-17,ARKK,2022-01-21,98.96,Put,7.10,7.25,7.18,0.4242,-0.26,0.01,-0.03,0.29
2021-06-17,ARKK,2022-01-21,100,Put,7.40,7.60,7.50,0.4219,-0.27,0.01,-0.03,0.30
2021-06-17,ARKK,2022-01-21,102.96,Put,8.50,8.65,8.58,0.4183,-0.30,0.01,-0.03,0.31
2021-06-17,ARKK,2022-01-21,105,Put,9.25,9.45,9.35,0.4152,-0.32,0.01,-0.03,0.32
2021-06-17,ARKK,2022-01-21,107.96,Put,10.50,10.70,10.60,0.4123,-0.35,0.01,-0.03,0.33
2021-06-17,ARKK,2022-01-21,110,Put,11.45,11.65,11.55,0.4113,-0.37,0.01,-0.03,0.34
2021-06-17,ARKK,2022-01-21,112.96,Put,12.85,13.05,12.95,0.4082,-0.40,0.01,-0.03,0.35
2021-06-17,ARKK,2022-01-21,115,Put,13.90,14.15,14.03,0.4076,-0.43,0.01,-0.03,0.35
2021-06-17,ARKK,2022-01-21,117.96,Put,15.55,15.75,15.65,0.4065,-0.46,0.01,-0.03,0.35
2021-06-17,ARKK,2022-01-21,120,Put,16.75,16.95,16.85,0.4064,-0.48,0.01,-0.03,0.36
2021-06-17,ARKK,2022-01-21,122.96,Put,18.55,18.80,18.68,0.4067,-0.51,0.01,-0.03,0.35
2021-06-17,ARKK,2022-01-21,125,Put,19.90,20.10,20.00,0.4073,-0.53,0.01,-0.03,0.35
2021-06-17,ARKK,2022-01-21,127.96,Put,21.90,22.15,22.03,0.4093,-0.56,0.01,-0.03,0.35
2021-06-17,ARKK,2022-01-21,130,Put,23.95,24.10,24.03,0.4088,-0.58,0.01,-0.03,0.35
