date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2020-12-03,ARKK,2022-01-21,45,Put,0.15,2.15,1.15,0.5950,-0.03,0.00,-0.01,0.09
2020-12-03,ARKK,2022-01-21,50,Put,0.70,2.50,1.60,0.5806,-0.04,0.00,-0.01,0.11
2020-12-03,ARKK,2022-01-21,55,Put,0.75,1.80,1.28,0.4970,-0.04,0.00,-0.01,0.11
2020-12-03,ARKK,2022-01-21,60,Put,1.85,2.15,2.00,0.5030,-0.06,0.00,-0.01,0.15
2020-12-03,ARKK,2022-01-21,65,Put,2.55,2.85,2.70,0.4954,-0.08,0.00,-0.01,0.18
2020-12-03,ARKK,2022-01-21,70,Put,3.50,3.70,3.60,0.4908,-0.10,0.00,-0.01,0.22
2020-12-03,ARKK,2022-01-21,73,Put,3.90,4.30,4.10,0.4830,-0.11,0.00,-0.01,0.23
2020-12-03,ARKK,2022-01-21,74,Put,4.10,4.50,4.30,0.4815,-0.12,0.00,-0.01,0.24
2020-12-03,ARKK,2022-01-21,75,Put,4.50,4.70,4.60,0.4837,-0.12,0.00,-0.01,0.25
2020-12-03,ARKK,2022-01-21,76,Put,4.60,4.90,4.75,0.4796,-0.13,0.00,-0.01,0.26
2020-12-03,ARKK,2022-01-21,77,Put,3.00,8.00,5.50,0.4979,-0.14,0.00,-0.01,0.27
2020-12-03,ARKK,2022-01-21,78,Put,5.00,5.40,5.20,0.4766,-0.14,0.00,-0.01,0.27
2020-12-03,ARKK,2022-01-21,79,Put,5.30,5.70,5.50,0.4775,-0.14,0.00,-0.01,0.27
2020-12-03,ARKK,2022-01-21,80,Put,5.50,5.90,5.70,0.4746,-0.15,0.00,-0.01,0.28
2020-12-03,ARKK,2022-01-21,81,Put,5.70,6.20,5.95,0.4732,-0.16,0.00,-0.01,0.29
2020-12-03,ARKK,2022-01-21,82,Put,5.30,6.40,5.85,0.4598,-0.16,0.00,-0.01,0.29
2020-12-03,ARKK,2022-01-21,83,Put,6.20,6.70,6.45,0.4698,-0.17,0.00,-0.01,0.30
2020-12-03,ARKK,2022-01-21,84,Put,6.50,7.00,6.75,0.4694,-0.17,0.00,-0.02,0.31
2020-12-03,ARKK,2022-01-21,85,Put,6.80,7.30,7.05,0.4688,-0.18,0.00,-0.02,0.32
2020-12-03,ARKK,2022-01-21,86,Put,7.10,7.60,7.35,0.4679,-0.18,0.00,-0.02,0.33
2020-12-03,ARKK,2022-01-21,87,Put,7.40,7.90,7.65,0.4668,-0.19,0.01,-0.02,0.33
2020-12-03,ARKK,2022-01-21,88,Put,7.60,8.20,7.90,0.4641,-0.20,0.01,-0.02,0.34
2020-12-03,ARKK,2022-01-21,89,Put,8.00,8.50,8.25,0.4641,-0.20,0.01,-0.02,0.35
2020-12-03,ARKK,2022-01-21,90,Put,8.40,8.80,8.60,0.4638,-0.21,0.01,-0.02,0.35
2020-12-03,ARKK,2022-01-21,91,Put,8.70,9.20,8.95,0.4633,-0.22,0.01,-0.02,0.36
2020-12-03,ARKK,2022-01-21,92,Put,8.90,9.50,9.20,0.4599,-0.22,0.01,-0.02,0.36
2020-12-03,ARKK,2022-01-21,93,Put,9.40,9.90,9.65,0.4617,-0.23,0.01,-0.02,0.37
2020-12-03,ARKK,2022-01-21,94,Put,9.70,10.20,9.95,0.4593,-0.24,0.01,-0.02,0.38
2020-12-03,ARKK,2022-01-21,95,Put,10.10,10.60,10.35,0.4593,-0.24,0.01,-0.02,0.38
2020-12-03,ARKK,2022-01-21,96,Put,10.50,11.00,10.75,0.4592,-0.25,0.01,-0.02,0.39
2020-12-03,ARKK,2022-01-21,97,Put,10.70,11.40,11.05,0.4563,-0.26,0.01,-0.02,0.39
2020-12-03,ARKK,2022-01-21,98,Put,11.00,11.80,11.40,0.4545,-0.26,0.01,-0.02,0.40
2020-12-03,ARKK,2022-01-21,99,Put,11.70,12.20,11.95,0.4575,-0.27,0.01,-0.02,0.40
2020-12-03,ARKK,2022-01-21,100,Put,11.70,12.60,12.15,0.4516,-0.28,0.01,-0.02,0.41
2020-12-03,ARKK,2022-01-21,101,Put,12.40,13.00,12.70,0.4542,-0.29,0.01,-0.02,0.41
2020-12-03,ARKK,2022-01-21,105,Put,14.00,14.70,14.35,0.4493,-0.31,0.01,-0.02,0.43
