date,symbol,open,high,low,close
2020-10-01,ARKK,93.38999938964844,94.54000091552734,92.91999816894531,94.54000091552734
2020-10-02,ARKK,91.55999755859375,94.05999755859375,91.55000305175781,92.31999969482422
2020-10-05,ARKK,93.55999755859375,95.95999908447266,93.55999755859375,95.88999938964844
2020-10-06,ARKK,95.94000244140625,97.91000366210938,94.87999725341797,95.66999816894531
2020-10-07,ARKK,97.0999984741211,100.0199966430664,97.0999984741211,99.20999908447266
2020-10-08,ARKK,101.86000061035156,101.86000061035156,100.19000244140625,100.56999969482422
2020-10-09,ARKK,101.66000366210938,103.02999877929688,101.31999969482422,102.76000213623047
2020-10-12,ARKK,104.7699966430664,105.0,102.26000213623047,102.33000183105469
2020-10-13,ARKK,102.79000091552734,105.19999694824219,102.16000366210938,104.83000183105469
2020-10-14,ARKK,105.6500015258789,106.1500015258789,103.5,103.7699966430664
2020-10-15,ARKK,101.4000015258789,103.0770034790039,101.12000274658203,102.83000183105469
2020-10-16,ARKK,104.08000183105469,104.5,102.69999694824219,102.76000213623047
2020-10-19,ARKK,104.11000061035156,104.55000305175781,101.86000061035156,102.25
2020-10-20,ARKK,102.83999633789062,103.27999877929688,100.75,100.83000183105469
2020-10-21,ARKK,100.1500015258789,100.7699966430664,97.69999694824219,97.94999694824219
2020-10-22,ARKK,99.16000366210938,99.83999633789062,96.8550033569336,98.58000183105469
2020-10-23,ARKK,99.12000274658203,99.18000030517578,97.41000366210938,99.18000030517578
2020-10-26,ARKK,98.16000366210938,99.83999633789062,95.86000061035156,97.19999694824219
2020-10-27,ARKK,97.83999633789062,98.99500274658203,97.63500213623047,98.62999725341797
2020-10-28,ARKK,96.30999755859375,96.37000274658203,94.3499984741211,94.75
2020-10-29,ARKK,95.5999984741211,96.45999908447266,94.93000030517578,95.98999786376953
2020-10-30,ARKK,95.0,95.1500015258789,89.94999694824219,90.79000091552734
2020-11-02,ARKK,91.97000122070312,92.5199966430664,89.38999938964844,90.80000305175781
2020-11-03,ARKK,92.22000122070312,93.77999877929688,90.94999694824219,93.16000366210938
2020-11-04,ARKK,95.93000030517578,98.31999969482422,95.22000122070312,97.51000213623047
2020-11-05,ARKK,100.7300033569336,100.9800033569336,99.20999908447266,100.81999969482422
