date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2020-11-05,ARKK,2022-01-21,45,Put,0.05,3.00,1.53,0.5609,-0.05,0.00,-0.01,0.11
2020-11-05,ARKK,2022-01-21,50,Put,1.45,1.95,1.70,0.5148,-0.06,0.00,-0.01,0.12
2020-11-05,ARKK,2022-01-21,55,Put,2.15,2.70,2.43,0.5080,-0.08,0.00,-0.01,0.16
2020-11-05,ARKK,2022-01-21,60,Put,2.85,3.60,3.23,0.4966,-0.10,0.00,-0.01,0.19
2020-11-05,ARKK,2022-01-21,65,Put,3.60,5.60,4.60,0.5041,-0.13,0.00,-0.01,0.23
2020-11-05,ARKK,2022-01-21,70,Put,5.10,6.00,5.55,0.4850,-0.15,0.00,-0.01,0.26
2020-11-05,ARKK,2022-01-21,73,Put,5.80,6.80,6.30,0.4781,-0.17,0.00,-0.01,0.28
2020-11-05,ARKK,2022-01-21,74,Put,6.00,7.10,6.55,0.4754,-0.18,0.01,-0.01,0.29
2020-11-05,ARKK,2022-01-21,75,Put,6.40,7.90,7.15,0.4843,-0.19,0.01,-0.01,0.30
2020-11-05,ARKK,2022-01-21,76,Put,6.80,8.10,7.45,0.4827,-0.19,0.01,-0.01,0.30
2020-11-05,ARKK,2022-01-21,77,Put,7.10,8.20,7.65,0.4775,-0.20,0.01,-0.01,0.31
2020-11-05,ARKK,2022-01-21,78,Put,7.40,8.80,8.10,0.4802,-0.21,0.01,-0.01,0.32
2020-11-05,ARKK,2022-01-21,79,Put,7.80,8.90,8.35,0.4763,-0.21,0.01,-0.01,0.32
2020-11-05,ARKK,2022-01-21,80,Put,8.10,9.70,8.90,0.4814,-0.22,0.01,-0.02,0.33
2020-11-05,ARKK,2022-01-21,81,Put,8.50,9.70,9.10,0.4756,-0.23,0.01,-0.02,0.33
2020-11-05,ARKK,2022-01-21,82,Put,8.90,10.80,9.85,0.4858,-0.24,0.01,-0.02,0.34
2020-11-05,ARKK,2022-01-21,83,Put,9.20,10.50,9.85,0.4738,-0.24,0.01,-0.02,0.35
2020-11-05,ARKK,2022-01-21,84,Put,9.60,10.90,10.25,0.4733,-0.25,0.01,-0.02,0.35
2020-11-05,ARKK,2022-01-21,85,Put,10.00,11.60,10.80,0.4768,-0.26,0.01,-0.02,0.36
2020-11-05,ARKK,2022-01-21,86,Put,10.40,12.60,11.50,0.4840,-0.27,0.01,-0.02,0.36
2020-11-05,ARKK,2022-01-21,87,Put,11.00,12.60,11.80,0.4799,-0.27,0.01,-0.02,0.37
2020-11-05,ARKK,2022-01-21,88,Put,11.30,13.50,12.40,0.4838,-0.28,0.01,-0.02,0.37
2020-11-05,ARKK,2022-01-21,89,Put,11.70,13.40,12.55,0.4754,-0.29,0.01,-0.02,0.38
2020-11-05,ARKK,2022-01-21,90,Put,12.20,13.60,12.90,0.4722,-0.30,0.01,-0.02,0.38
2020-11-05,ARKK,2022-01-21,91,Put,12.60,14.30,13.45,0.4741,-0.30,0.01,-0.02,0.39
2020-11-05,ARKK,2022-01-21,92,Put,13.20,14.60,13.90,0.4731,-0.31,0.01,-0.02,0.39
2020-11-05,ARKK,2022-01-21,93,Put,13.60,15.30,14.45,0.4745,-0.32,0.01,-0.02,0.39
2020-11-05,ARKK,2022-01-21,94,Put,14.10,15.80,14.95,0.4744,-0.33,0.01,-0.02,0.40
2020-11-05,ARKK,2022-01-21,95,Put,14.60,16.30,15.45,0.4740,-0.33,0.01,-0.02,0.40
2020-11-05,ARKK,2022-01-21,96,Put,15.00,17.20,16.10,0.4772,-0.34,0.01,-0.02,0.40
2020-11-05,ARKK,2022-01-21,97,Put,15.60,17.30,16.45,0.4728,-0.35,0.01,-0.02,0.40
2020-11-05,ARKK,2022-01-21,98,Put,16.10,17.70,16.90,0.4707,-0.36,0.01,-0.02,0.41
2020-11-05,ARKK,2022-01-21,99,Put,16.60,18.50,17.55,0.4733,-0.37,0.01,-0.02,0.41
2020-11-05,ARKK,2022-01-21,100,Put,16.80,19.40,18.10,0.4732,-0.37,0.01,-0.02,0.42
2020-11-05,ARKK,2022-01-21,101,Put,17.50,20.10,18.80,0.4766,-0.38,0.01,-0.02,0.42
2020-11-05,ARKK,2022-01-21,105,Put,19.60,22.50,21.05,0.4749,-0.41,0.01,-0.02,0.43
