date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2021-01-28,ARKK,2022-01-21,42.96,Put,0.50,1.30,0.90,0.7173,-0.02,0.00,-0.01,0.06
2021-01-28,ARKK,2022-01-21,47.96,Put,0.70,1.40,1.05,0.6772,-0.02,0.00,-0.01,0.08
2021-01-28,ARKK,2022-01-21,52.96,Put,1.00,1.60,1.30,0.6501,-0.03,0.00,-0.01,0.09
2021-01-28,ARKK,2022-01-21,57.96,Put,1.50,2.60,2.05,0.6643,-0.04,0.00,-0.01,0.12
2021-01-28,ARKK,2022-01-21,62.96,Put,2.10,2.55,2.33,0.6317,-0.05,0.00,-0.01,0.14
2021-01-28,ARKK,2022-01-21,65,Put,2.20,2.80,2.50,0.6228,-0.05,0.00,-0.01,0.15
2021-01-28,ARKK,2022-01-21,67.96,Put,2.50,3.80,3.15,0.6328,-0.06,0.00,-0.01,0.17
2021-01-28,ARKK,2022-01-21,70.96,Put,2.80,4.70,3.75,0.6350,-0.07,0.00,-0.02,0.19
2021-01-28,ARKK,2022-01-21,71.96,Put,1.50,5.00,3.25,0.5985,-0.07,0.00,-0.01,0.18
2021-01-28,ARKK,2022-01-21,72.96,Put,3.00,5.20,4.10,0.6323,-0.08,0.00,-0.02,0.20
2021-01-28,ARKK,2022-01-21,73.96,Put,3.20,5.40,4.30,0.6270,-0.08,0.00,-0.02,0.21
2021-01-28,ARKK,2022-01-21,74.96,Put,3.20,5.60,4.40,0.6264,-0.08,0.00,-0.02,0.21
2021-01-28,ARKK,2022-01-21,75.96,Put,2.55,5.80,4.18,0.6060,-0.08,0.00,-0.02,0.21
2021-01-28,ARKK,2022-01-21,76.96,Put,2.50,6.10,4.30,0.6020,-0.09,0.00,-0.02,0.22
2021-01-28,ARKK,2022-01-21,77.96,Put,3.50,6.30,4.90,0.6188,-0.09,0.00,-0.02,0.23
2021-01-28,ARKK,2022-01-21,78.96,Put,4.00,6.40,5.20,0.6216,-0.10,0.00,-0.02,0.24
2021-01-28,ARKK,2022-01-21,79.96,Put,4.40,6.50,5.45,0.6202,-0.10,0.00,-0.02,0.25
2021-01-28,ARKK,2022-01-21,80.96,Put,3.50,6.80,5.15,0.5999,-0.10,0.00,-0.02,0.24
2021-01-28,ARKK,2022-01-21,81.96,Put,3.60,6.60,5.10,0.5882,-0.10,0.00,-0.02,0.25
2021-01-28,ARKK,2022-01-21,82.96,Put,4.90,7.30,6.10,0.6177,-0.11,0.00,-0.02,0.26
2021-01-28,ARKK,2022-01-21,83.96,Put,4.10,8.10,6.10,0.6079,-0.11,0.00,-0.02,0.27
2021-01-28,ARKK,2022-01-21,84.96,Put,4.50,8.90,6.70,0.6201,-0.12,0.00,-0.02,0.28
2021-01-28,ARKK,2022-01-21,85.96,Put,5.30,7.50,6.40,0.5994,-0.12,0.00,-0.02,0.28
2021-01-28,ARKK,2022-01-21,86.96,Put,5.50,8.50,7.00,0.6110,-0.12,0.00,-0.02,0.29
2021-01-28,ARKK,2022-01-21,87.96,Put,5.80,8.30,7.05,0.6029,-0.13,0.00,-0.02,0.29
2021-01-28,ARKK,2022-01-21,88.96,Put,6.10,9.10,7.60,0.6117,-0.13,0.00,-0.02,0.30
2021-01-28,ARKK,2022-01-21,89.96,Put,6.30,9.30,7.80,0.6085,-0.14,0.00,-0.02,0.30
2021-01-28,ARKK,2022-01-21,90.96,Put,6.10,9.40,7.75,0.5971,-0.14,0.00,-0.02,0.31
2021-01-28,ARKK,2022-01-21,91.96,Put,6.90,9.60,8.25,0.6034,-0.14,0.00,-0.02,0.32
2021-01-28,ARKK,2022-01-21,92.96,Put,7.20,9.70,8.45,0.5999,-0.15,0.00,-0.02,0.32
2021-01-28,ARKK,2022-01-21,93.96,Put,7.70,10.30,9.00,0.6070,-0.15,0.00,-0.02,0.33
2021-01-28,ARKK,2022-01-21,94.96,Put,7.10,11.50,9.30,0.6062,-0.16,0.00,-0.03,0.33
2021-01-28,ARKK,2022-01-21,95.96,Put,7.50,11.30,9.40,0.5993,-0.16,0.00,-0.03,0.34
2021-01-28,ARKK,2022-01-21,96.96,Put,8.10,11.10,9.60,0.5954,-0.16,0.00,-0.03,0.34
2021-01-28,ARKK,2022-01-21,97.96,Put,8.10,12.40,10.25,0.6042,-0.17,0.00,-0.03,0.35
2021-01-28,ARKK,2022-01-21,98.96,Put,8.50,12.70,10.60,0.6042,-0.17,0.00,-0.03,0.36
2021-01-28,ARKK,2022-01-21,100,Put,10.50,12.30,11.40,0.6146,-0.18,0.00,-0.03,0.37
2021-01-28,ARKK,2022-01-21,102.96,Put,10.00,13.40,11.70,0.5946,-0.19,0.00,-0.03,0.38
2021-01-28,ARKK,2022-01-21,105,Put,10.60,14.10,12.35,0.5914,-0.20,0.00,-0.03,0.39
