date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2022-02-09,ARKK,2022-07-16,35,Put,0.70,0.75,0.725,0.7840,-0.04,0.00,-0.01,0.04
2022-02-09,ARKK,2022-07-16,40,Put,1.09,1.20,1.145,0.7463,-0.06,0.00,-0.01,0.06
2022-02-09,ARKK,2022-07-16,45,Put,1.60,1.72,1.660,0.7045,-0.08,0.00,-0.02,0.08
2022-02-09,ARKK,2022-07-16,49.22,Put,2.13,2.30,2.215,0.6717,-0.11,0.01,-0.02,0.09
2022-02-09,ARKK,2022-07-16,54.22,Put,3.00,3.15,3.075,0.6380,-0.15,0.01,-0.02,0.12
2022-02-09,ARKK,2022-07-16,59.22,Put,4.05,4.30,4.175,0.6073,-0.20,0.01,-0.03,0.14
2022-02-09,ARKK,2022-07-16,64.22,Put,5.45,5.65,5.550,0.5788,-0.26,0.01,-0.03,0.16
2022-02-09,ARKK,2022-07-16,69.22,Put,7.20,7.45,7.325,0.5574,-0.33,0.01,-0.03,0.18
2022-02-09,ARKK,2022-07-16,74.22,Put,9.35,9.65,9.500,0.5400,-0.40,0.01,-0.03,0.19
2022-02-09,ARKK,2022-07-16,75,Put,9.70,10.05,9.875,0.5376,-0.41,0.01,-0.03,0.19
2022-02-09,ARKK,2022-07-16,76,Put,10.20,10.55,10.375,0.5348,-0.42,0.01,-0.03,0.19
2022-02-09,ARKK,2022-07-16,77,Put,10.65,11.00,10.825,0.5287,-0.44,0.01,-0.03,0.19
2022-02-09,ARKK,2022-07-16,78,Put,11.25,11.55,11.400,0.5284,-0.45,0.01,-0.03,0.19
2022-02-09,ARKK,2022-07-16,79,Put,11.80,12.10,11.950,0.5261,-0.47,0.02,-0.03,0.20
2022-02-09,ARKK,2022-07-16,79.22,Put,11.75,12.25,12.000,0.5218,-0.47,0.02,-0.03,0.20
2022-02-09,ARKK,2022-07-16,80,Put,12.40,12.70,12.550,0.5256,-0.48,0.02,-0.03,0.20
2022-02-09,ARKK,2022-07-16,81,Put,12.80,13.35,13.075,0.5206,-0.50,0.02,-0.03,0.20
2022-02-09,ARKK,2022-07-16,82,Put,13.60,13.85,13.725,0.5213,-0.51,0.02,-0.03,0.20
2022-02-09,ARKK,2022-07-16,83,Put,14.20,14.50,14.350,0.5200,-0.53,0.02,-0.03,0.19
2022-02-09,ARKK,2022-07-16,84,Put,14.85,15.20,15.025,0.5207,-0.54,0.02,-0.03,0.19
2022-02-09,ARKK,2022-07-16,84.22,Put,14.90,15.35,15.125,0.5183,-0.54,0.02,-0.03,0.19
2022-02-09,ARKK,2022-07-16,85,Put,15.50,15.85,15.675,0.5194,-0.55,0.02,-0.03,0.19
2022-02-09,ARKK,2022-07-16,89.22,Put,18.35,18.80,18.575,0.5155,-0.61,0.01,-0.03,0.19
2022-02-09,ARKK,2022-07-16,94.22,Put,22.20,22.70,22.450,0.5218,-0.66,0.01,-0.03,0.18
2022-02-09,ARKK,2022-07-16,99.22,Put,26.40,26.85,26.625,0.5343,-0.71,0.01,-0.03,0.16
2022-02-09,ARKK,2022-07-16,104.22,Put,30.90,31.25,31.075,0.5557,-0.73,0.01,-0.02,0.15
2022-02-09,ARKK,2022-07-16,109.22,Put,35.35,35.90,35.625,0.5783,-0.76,0.01,-0.02,0.14
2022-02-09,ARKK,2022-07-16,114.22,Put,40.15,40.55,40.350,0.6096,-0.76,0.01,-0.02,0.14
2022-02-09,ARKK,2022-07-16,119.22,Put,44.95,45.40,45.175,0.6463,-0.77,0.01,-0.02,0.13
2022-02-09,ARKK,2022-07-16,124.22,Put,49.75,50.25,50.000,0.6821,-0.77,0.00,-0.03,0.13
2022-02-09,ARKK,2022-07-16,129.22,Put,54.50,55.35,54.925,0.7249,-0.76,0.00,-0.03,0.12
2022-02-09,ARKK,2022-07-16,134.22,Put,58.85,60.20,59.525,0.7420,-0.77,0.00,-0.03,0.12
2022-02-09,ARKK,2022-07-16,139.22,Put,64.45,65.25,64.850,0.8160,-0.75,0.00,-0.03,0.13
2022-02-09,ARKK,2022-07-16,144.22,Put,69.35,70.20,69.775,0.8587,-0.74,0.00,-0.03,0.13
2022-02-09,ARKK,2022-07-16,149.22,Put,73.75,75.15,74.450,0.8821,-0.74,0.00,-0.03,0.13
2022-02-09,ARKK,2022-07-16,154.22,Put,79.10,80.00,79.550,0.9386,-0.72,0.00,-0.04,0.13
2022-02-09,ARKK,2022-07-16,159.22,Put,84.15,84.95,84.550,0.9873,-0.71,0.00,-0.04,0.13
2022-02-09,ARKK,2022-07-16,164.22,Put,89.10,89.90,89.500,1.0325,-0.70,0.00,-0.04,0.13
2022-02-09,ARKK,2022-07-16,169.22,Put,94.05,94.75,94.400,1.0740,-0.69,0.00,-0.04,0.13
2022-02-09,ARKK,2022-07-16,174.22,Put,99.05,99.75,99.400,1.1231,-0.68,0.00,-0.04,0.14
2022-02-09,ARKK,2022-07-16,179.22,Put,104.05,105.10,104.575,1.1851,-0.66,0.00,-0.05,0.14
2022-02-09,ARKK,2022-07-16,184.22,Put,109.00,110.10,109.550,1.2325,-0.65,0.00,-0.05,0.14
2022-02-09,ARKK,2022-07-16,189.22,Put,113.90,114.85,114.375,1.2692,-0.64,0.00,-0.05,0.14
2022-02-09,ARKK,2022-07-16,194.22,Put,118.85,119.75,119.300,1.3133,-0.63,0.00,-0.05,0.14
