date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2022-02-02,ARKK,2022-07-16,35,Put,0.52,0.72,0.620,0.7149,-0.04,0.00,-0.01,0.04
2022-02-02,ARKK,2022-07-16,40,Put,0.96,1.05,1.005,0.6775,-0.06,0.00,-0.01,0.06
2022-02-02,ARKK,2022-07-16,45,Put,1.48,1.61,1.545,0.6432,-0.09,0.01,-0.02,0.08
2022-02-02,ARKK,2022-07-16,49.22,Put,2.04,2.20,2.120,0.6134,-0.12,0.01,-0.02,0.10
2022-02-02,ARKK,2022-07-16,54.22,Put,2.96,3.15,3.055,0.5850,-0.17,0.01,-0.02,0.12
2022-02-02,ARKK,2022-07-16,59.22,Put,4.15,4.35,4.250,0.5575,-0.22,0.01,-0.02,0.14
2022-02-02,ARKK,2022-07-16,64.22,Put,5.70,5.95,5.825,0.5358,-0.29,0.01,-0.03,0.17
2022-02-02,ARKK,2022-07-16,69.22,Put,7.60,7.85,7.725,0.5136,-0.36,0.01,-0.03,0.18
2022-02-02,ARKK,2022-07-16,74.22,Put,9.95,10.25,10.100,0.4975,-0.44,0.02,-0.03,0.19
2022-02-02,ARKK,2022-07-16,75,Put,10.35,10.70,10.525,0.4961,-0.46,0.02,-0.03,0.19
2022-02-02,ARKK,2022-07-16,76,Put,10.90,11.25,11.075,0.4938,-0.47,0.02,-0.03,0.19
2022-02-02,ARKK,2022-07-16,77,Put,11.40,11.80,11.600,0.4894,-0.49,0.02,-0.03,0.19
2022-02-02,ARKK,2022-07-16,78,Put,12.00,12.50,12.250,0.4908,-0.50,0.02,-0.03,0.19
2022-02-02,ARKK,2022-07-16,79,Put,12.60,13.10,12.850,0.4889,-0.52,0.02,-0.03,0.19
2022-02-02,ARKK,2022-07-16,79.22,Put,12.80,13.20,13.000,0.4893,-0.52,0.02,-0.03,0.19
2022-02-02,ARKK,2022-07-16,80,Put,13.30,13.60,13.450,0.4862,-0.54,0.02,-0.03,0.19
2022-02-02,ARKK,2022-07-16,81,Put,13.85,14.35,14.100,0.4854,-0.55,0.02,-0.03,0.19
2022-02-02,ARKK,2022-07-16,82,Put,14.55,14.90,14.725,0.4825,-0.57,0.02,-0.03,0.19
2022-02-02,ARKK,2022-07-16,83,Put,15.25,15.65,15.450,0.4842,-0.58,0.02,-0.03,0.19
2022-02-02,ARKK,2022-07-16,84,Put,15.85,16.25,16.050,0.4786,-0.60,0.02,-0.03,0.18
2022-02-02,ARKK,2022-07-16,84.22,Put,16.00,16.50,16.250,0.4809,-0.60,0.02,-0.03,0.18
2022-02-02,ARKK,2022-07-16,85,Put,16.65,17.05,16.850,0.4830,-0.61,0.02,-0.03,0.18
2022-02-02,ARKK,2022-07-16,89.22,Put,19.75,20.20,19.975,0.4817,-0.66,0.01,-0.02,0.17
2022-02-02,ARKK,2022-07-16,94.22,Put,23.75,24.35,24.050,0.4891,-0.72,0.01,-0.02,0.16
2022-02-02,ARKK,2022-07-16,99.22,Put,28.15,28.55,28.350,0.5001,-0.75,0.01,-0.02,0.14
2022-02-02,ARKK,2022-07-16,104.22,Put,32.70,33.15,32.925,0.5231,-0.78,0.01,-0.02,0.13
2022-02-02,ARKK,2022-07-16,109.22,Put,37.35,37.80,37.575,0.5476,-0.79,0.01,-0.02,0.13
2022-02-02,ARKK,2022-07-16,114.22,Put,42.20,42.75,42.475,0.5900,-0.79,0.01,-0.02,0.12
2022-02-02,ARKK,2022-07-16,119.22,Put,47.05,47.55,47.300,0.6255,-0.79,0.01,-0.02,0.12
2022-02-02,ARKK,2022-07-16,124.22,Put,51.90,52.55,52.225,0.6689,-0.78,0.00,-0.02,0.12
2022-02-02,ARKK,2022-07-16,129.22,Put,56.75,57.80,57.275,0.7227,-0.77,0.00,-0.02,0.12
2022-02-02,ARKK,2022-07-16,134.22,Put,61.70,62.50,62.100,0.7579,-0.77,0.00,-0.03,0.12
2022-02-02,ARKK,2022-07-16,139.22,Put,66.60,67.45,67.025,0.8014,-0.76,0.00,-0.03,0.12
2022-02-02,ARKK,2022-07-16,144.22,Put,71.65,72.45,72.050,0.8533,-0.74,0.00,-0.03,0.12
2022-02-02,ARKK,2022-07-16,149.22,Put,76.30,77.40,76.850,0.8872,-0.74,0.00,-0.03,0.12
2022-02-02,ARKK,2022-07-16,154.22,Put,81.35,82.40,81.875,0.9394,-0.72,0.00,-0.03,0.13
2022-02-02,ARKK,2022-07-16,159.22,Put,86.40,87.40,86.900,0.9916,-0.71,0.00,-0.04,0.13
2022-02-02,ARKK,2022-07-16,164.22,Put,91.50,92.30,91.900,1.0418,-0.70,0.00,-0.04,0.13
2022-02-02,ARKK,2022-07-16,169.22,Put,96.45,97.50,96.975,1.0979,-0.68,0.00,-0.04,0.13
2022-02-02,ARKK,2022-07-16,174.22,Put,101.35,102.35,101.850,1.1388,-0.67,0.00,-0.04,0.13
2022-02-02,ARKK,2022-07-16,179.22,Put,106.45,107.30,106.875,1.1911,-0.66,0.00,-0.05,0.13
2022-02-02,ARKK,2022-07-16,184.22,Put,111.30,112.30,111.800,1.2361,-0.65,0.00,-0.05,0.14
2022-02-02,ARKK,2022-07-16,189.22,Put,116.40,117.30,116.850,1.2903,-0.63,0.00,-0.05,0.14
2022-02-02,ARKK,2022-07-16,194.22,Put,121.30,122.30,121.800,1.3373,-0.62,0.00,-0.05,0.14
