date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2022-02-16,ARKK,2022-07-16,35,Put,0.81,1.01,0.910,0.8182,-0.05,0.00,-0.01,0.05
2022-02-16,ARKK,2022-07-16,40,Put,1.29,1.39,1.340,0.7669,-0.07,0.00,-0.02,0.06
2022-02-16,ARKK,2022-07-16,45,Put,1.85,1.97,1.910,0.7207,-0.10,0.01,-0.02,0.08
2022-02-16,ARKK,2022-07-16,49.22,Put,2.44,2.62,2.530,0.6856,-0.13,0.01,-0.02,0.10
2022-02-16,ARKK,2022-07-16,54.22,Put,3.40,3.60,3.500,0.6507,-0.17,0.01,-0.03,0.12
2022-02-16,ARKK,2022-07-16,59.22,Put,4.60,4.80,4.700,0.6165,-0.23,0.01,-0.03,0.14
2022-02-16,ARKK,2022-07-16,64.22,Put,6.10,6.35,6.225,0.5869,-0.29,0.01,-0.03,0.16
2022-02-16,ARKK,2022-07-16,69.22,Put,8.00,8.30,8.150,0.5630,-0.36,0.01,-0.03,0.17
2022-02-16,ARKK,2022-07-16,74.22,Put,10.35,10.65,10.500,0.5439,-0.44,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,75,Put,10.80,11.05,10.925,0.5423,-0.45,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,76,Put,11.25,11.65,11.450,0.5386,-0.47,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,77,Put,11.80,12.20,12.000,0.5354,-0.48,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,78,Put,12.45,12.85,12.650,0.5369,-0.50,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,79,Put,13.00,13.40,13.200,0.5322,-0.51,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,79.22,Put,13.15,13.50,13.325,0.5313,-0.52,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,80,Put,13.65,14.00,13.825,0.5309,-0.53,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,81,Put,14.30,14.70,14.500,0.5316,-0.54,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,82,Put,14.85,15.30,15.075,0.5260,-0.56,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,83,Put,15.65,15.95,15.800,0.5280,-0.57,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,84,Put,16.25,16.65,16.450,0.5252,-0.59,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,84.22,Put,16.40,16.85,16.625,0.5262,-0.59,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,85,Put,17.00,17.40,17.200,0.5273,-0.60,0.02,-0.03,0.18
2022-02-16,ARKK,2022-07-16,89.22,Put,20.15,20.55,20.350,0.5286,-0.65,0.01,-0.03,0.17
2022-02-16,ARKK,2022-07-16,94.22,Put,24.10,24.60,24.350,0.5337,-0.70,0.01,-0.03,0.16
2022-02-16,ARKK,2022-07-16,99.22,Put,28.45,28.85,28.650,0.5471,-0.74,0.01,-0.02,0.14
2022-02-16,ARKK,2022-07-16,104.22,Put,33.00,33.40,33.200,0.5709,-0.76,0.01,-0.02,0.13
2022-02-16,ARKK,2022-07-16,109.22,Put,37.65,38.10,37.875,0.5997,-0.78,0.01,-0.02,0.13
2022-02-16,ARKK,2022-07-16,114.22,Put,42.40,42.95,42.675,0.6360,-0.78,0.01,-0.02,0.12
2022-02-16,ARKK,2022-07-16,119.22,Put,47.15,47.70,47.425,0.6669,-0.78,0.01,-0.02,0.12
2022-02-16,ARKK,2022-07-16,124.22,Put,52.05,52.85,52.450,0.7206,-0.78,0.00,-0.03,0.12
2022-02-16,ARKK,2022-07-16,129.22,Put,57.00,57.75,57.375,0.7657,-0.77,0.00,-0.03,0.12
2022-02-16,ARKK,2022-07-16,134.22,Put,61.80,62.60,62.200,0.8023,-0.76,0.00,-0.03,0.12
2022-02-16,ARKK,2022-07-16,139.22,Put,66.75,67.60,67.175,0.8518,-0.75,0.00,-0.03,0.12
2022-02-16,ARKK,2022-07-16,144.22,Put,71.80,72.55,72.175,0.9035,-0.74,0.00,-0.03,0.12
2022-02-16,ARKK,2022-07-16,149.22,Put,76.65,77.55,77.100,0.9491,-0.73,0.00,-0.03,0.12
2022-02-16,ARKK,2022-07-16,154.22,Put,81.45,82.55,82.000,0.9929,-0.72,0.00,-0.04,0.12
2022-02-16,ARKK,2022-07-16,159.22,Put,86.55,87.60,87.075,1.0512,-0.70,0.00,-0.04,0.12
2022-02-16,ARKK,2022-07-16,164.22,Put,91.65,92.45,92.050,1.1013,-0.69,0.00,-0.04,0.13
2022-02-16,ARKK,2022-07-16,169.22,Put,96.55,97.40,96.975,1.1477,-0.68,0.00,-0.04,0.13
2022-02-16,ARKK,2022-07-16,174.22,Put,101.55,102.40,101.975,1.2002,-0.67,0.00,-0.05,0.13
2022-02-16,ARKK,2022-07-16,179.22,Put,106.55,107.25,106.900,1.2469,-0.66,0.00,-0.05,0.13
2022-02-16,ARKK,2022-07-16,184.22,Put,111.50,112.25,111.875,1.2976,-0.64,0.00,-0.05,0.13
2022-02-16,ARKK,2022-07-16,189.22,Put,116.50,117.20,116.850,1.3484,-0.63,0.00,-0.06,0.13
2022-02-16,ARKK,2022-07-16,194.22,Put,121.45,122.20,121.825,1.3994,-0.62,0.00,-0.06,0.13
